Movie_Name,genres,actor_1_name,Polarity,Subjectivity,actor_2_name,Imdb Score
Men in Black 3,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,Will Smith,-0.080255355,0.337389805,Michael Stuhlbarg,6.8
The Hobbit: The Battle of the Five Armies,Adventure|Fantasy,Aidan Turner,0.053514412,0.167947154,Adam Brown,7.5
The Amazing Spider-Man,Action|Adventure|Fantasy,Emma Stone,0.101417248,0.284116665,Andrew Garfield,7
Robin Hood,Action|Adventure|Drama|History,Mark Addy,0.054293813,0.20012655,William Hurt,6.7
The Hobbit: The Desolation of Smaug,Adventure|Fantasy,Aidan Turner,0.042038308,0.110777587,Adam Brown,7.9
The Golden Compass,Adventure|Family|Fantasy,Christopher Lee,0.211635123,0.443265684,Eva Green,6.1
King Kong,Action|Adventure|Drama|Romance,Naomi Watts,0.055249909,0.243759743,Thomas Kretschmann,7.2
Titanic,Drama|Romance,Leonardo DiCaprio,0.045182851,0.219977794,Kate Winslet,7.7
Captain America: Civil War,Action|Adventure|Sci-Fi,Robert Downey Jr.,0.058612829,0.231845982,Scarlett Johansson,8.2
Battleship,Action|Adventure|Sci-Fi|Thriller,Liam Neeson,0.038810247,0.216410358,Alexander Skarsg ¥rd,5.9
Jurassic World,Action|Adventure|Sci-Fi|Thriller,Bryce Dallas Howard,0.041733326,0.220283368,Judy Greer,7
Skyfall,Action|Adventure|Thriller,Albert Finney,0.140764585,0.295082721,Helen McCrory,7.8
Spider-Man 2,Action|Adventure|Fantasy|Romance,J.K. Simmons,0.03840247,0.256967153,James Franco,7.3
Iron Man 3,Action|Adventure|Sci-Fi,Robert Downey Jr.,0.067621797,0.278635842,Jon Favreau,7.2
Alice in Wonderland,Adventure|Family|Fantasy,Johnny Depp,0.056853456,0.240132542,Alan Rickman,6.5
X-Men: The Last Stand,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,-0.013312166,0.199077911,Kelsey Grammer,6.8
Monsters University,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,0.075154011,0.249475093,Tyler Labine,7.3
Transformers: Revenge of the Fallen,Action|Adventure|Sci-Fi,Glenn Morshower,-0.002099116,0.177971117,Kevin Dunn,6
Transformers: Age of Extinction,Action|Adventure|Sci-Fi,Bingbing Li,-0.198779762,0.497480159,Sophia Myles,5.7
Oz the Great and Powerful,Adventure|Family|Fantasy,Tim Holmes,0.533988619,0.616546339,Mila Kunis,6.4
The Amazing Spider-Man 2,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,0.026845005,0.281035555,Andrew Garfield,6.7
TRON: Legacy,Action|Adventure|Sci-Fi,Jeff Bridges,0.096779991,0.224930005,Olivia Wilde,6.8
Cars 2,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,0.053377204,0.256053163,Thomas Kretschmann,6.3
Green Lantern,Action|Adventure|Sci-Fi,Ryan Reynolds,-0.067853778,0.343244348,Temuera Morrison,5.6
Toy Story 3,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,0.068438616,0.227021328,John Ratzenberger,8.3
Terminator Salvation,Action|Adventure|Sci-Fi,Christian Bale,0.000943001,0.272069264,Bryce Dallas Howard,6.6
Furious 7,Action|Crime|Thriller,Jason Statham,0.100374176,0.374684367,Paul Walker,7.2
World War Z,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,0.038829811,0.22956718,Brad Pitt,7
X-Men: Days of Future Past,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,-0.08573595,0.314898408,Peter Dinklage,8
Star Trek Into Darkness,Action|Adventure|Sci-Fi,Benedict Cumberbatch,-0.033107864,0.374552834,Bruce Greenwood,7.8
Jhalki,Drama | UA,Boman Irani| | Divya Dutta| Yatin Karyekar| Govind Namdeo| Sanjay Suri| Akhilendra Mishra| Arti Jha,-0.05429198,0.399843358,Tannishtha Chatterjee,5
Satellite Shankar,Action| Drama | UA,Sooraj Pancholi|| Megha Akash,0.275595238,0.306944444, Palomi Ghosh,4.6
Bypass Road,Thriller | UA,Neil Nitin Mukesh|| Sudhanshu Pandey| Rajit Kapoor| Gul Panag| Shama Sikander,0.018530506,0.216095779, Adah Sharma,7.1
Ujda Chaman,Drama| Comedy | UA,Sunny Singh|| Karishma Sharma| Saurabh Shukla| Atul Kumar| Grusha Kapoor| Sharib Hashmi,0.203445166,0.29047619, Maanvi Gagroo,8.1
Made In China,Comedy| Drama | UA,Rajkummar Rao| | Boman Irani| Sumeet Vyas| Manoj Joshi| Amyra Dastur| Gajraj Rao| Paresh Rawal,0.020606421,0.21732046,Mouni Roy,6.3
Housefull 4,Comedy| Drama | UA,Akshay Kumar| | Boman Irani| Bobby Deol| Kriti Sanon| Pooja Hegde| Kriti Kharbanda| Nawazuddin Siddiqui| Johnny Lever| Chunky Pandey| Nana Patekar,0.092233302,0.184121904,Riteish Deshmukh,3.3
Sarbjit,Biography|Drama,Randeep Hooda||Richa Chadha|Darshan Kumaar|Shiwani Saini|Ankita Shrivastav|Ankur Bhatia|Arbaaz Ali Khan|,0.142439451,0.312466754,Aishwarya Rai Bachchan,7.2
Kirket,Drama | UA,Kirti _Azad| | Sachin Chhabra| Sonu Jha| Dev Singh,-0.013462963,0.278277778,Vishal Tiwari,5
Junction Varanasi,Drama | UA,Dev Sharma| | Zarina Wahab| Anupam Shyam| Subrat Dutta| Shubhangi Latkar| Anjali Abrol,-0.010416667,0.03125,Govind Namdeo,5.2
Laal Kaptaan,Drama| Action | A,Saif Ali Khan| | Deepak Dobriyal| Manav Vij,0.097742733,0.20946712,Zoya Hussain,5.8
Hum Chaar,Drama | UA,Prit Kamani| | Tushar Pandey| Simran Sharma,0.038690476,0.210912698,Anshuman Malhotra,5.6
Kandy Twist,Drama| Crime | UA,Adi Irani|| Shiva Rindani| Ashish Mishra,0.068181818,0.25, Divya Singh,4.4
War,Action| Thriller | UA,Hrithik Roshan| | Vaani Kapoor| Ashutosh Rana,0.063015339,0.218948452,Tiger Shroff,6.8
Prassthanam,Drama| Action| Crime | UA,Sanjay Dutt| Manisha Koirala| | Chunky Pandey| Ali Fazal| Amyra Dastur| Satyajeet Dubey,0.362962963,0.439814815,Jackie Shroff,6
Pal Pal Dil Ke Paas,Drama| Romance | UA,Karan Deol| Saher Bamba| Sachin Khedekar| ,0.16125,0.248541667,Aakash Ahuja,4.6
The Zoya Factor,Romance| Comedy | U,Sonam Kapoor| | Sanjay Kapoor| Angad Bedi| Sikander Kher| Manu Rishi Chadha| Koel Purie,0.10525,0.302583333,Dulquer Salmaan,4.1
Section 375,Drama| Thriller | UA,Richa Chadha| | Rahul Bhat| Meera Chopra| Kumud Mishra| Atul Kulkarni,0.100903775,0.226967039,Akshaye Khanna,8.4
Pranaam,Action| Crime | UA,Rajeev Khandelwal|  Atul Kulkarni| Vikram Gokhale| Abhimanyu Singh| Aniruddh Dave| Apoorva Arora,0.19544059,0.27865789,Sameksha Singh|,7
Jabariya Jodi,Action| Comedy| Romance | UA,Sidharth Malhotra| Parineeti Chopra| Sanjay Mishra| | Ruslaan Mumtaz| Chandan Roy Sanyal| Sheeba Chaddha| Jaaved Jaaferi,0.196969697,0.302121212,Aparshakti Khurana,4.2
Chicken Curry Law,Drama | A,Natalia Janoszek| | Nivedita Bhattacharya| Mukesh Hariawala| Zakir Hussain| Aman Verma,-0.091333333,0.603666667,Ashutosh Rana,6
Jack the Giant Slayer,Adventure|Fantasy,Eddie Marsan,0.041611296,0.830454042,Ewen Bremner,6.3
The Great Gatsby,Drama|Romance,Leonardo DiCaprio,0.566671586,0.599098124,Elizabeth Debicki,7.3
Prince of Persia: The Sands of Time,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,-0.014354947,0.1997679,Richard Coyle,6.6
Pacific Rim,Action|Adventure|Sci-Fi,Charlie Hunnam,0.079439022,0.277893772,Clifton Collins Jr.,7
Transformers: Dark of the Moon,Action|Adventure|Sci-Fi,Glenn Morshower,-0.036240115,0.393477128,Lester Speight,6.3
Indiana Jones and the Kingdom of the Crystal Skull,Action|Adventure|Fantasy,Harrison Ford,-0.020497749,0.203539038,Ray Winstone,6.2
The Good Dinosaur,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,0.435859263,0.537429461,Jack McGraw,6.8
Brave,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,0.468775809,0.736484127,John Ratzenberger,7.2
Star Trek Beyond,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,0.081465132,0.307555322,Melissa Roxburgh,7.5
WALL·E,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,0.051222904,0.197378309,Fred Willard,8.4
Rush Hour 3,Action|Comedy|Crime|Thriller,Tzi Ma,0.041476726,0.222163479,Dana Ivey,6.2
2012,Action|Adventure|Sci-Fi,Oliver Platt,0.071933923,0.242753436,Liam James,5.8
A Christmas Carol,Animation|Drama|Family|Fantasy,Robin Wright,0.072176217,0.239812381,Colin Firth,6.8
Jupiter Ascending,Action|Adventure|Sci-Fi,Channing Tatum,0.055918682,0.248598662,Mila Kunis,5.4
The Legend of Tarzan,Action|Adventure|Drama|Romance,Christoph Waltz,0.117935305,0.246961179,Alexander Skarsg ¥rd,6.6
The Chronicles of Narnia: The Lion| the Witch and the Wardrobe,Adventure|Family|Fantasy,Jim Broadbent,0.030147059,0.064583333,Kiran Shah,6.9
X-Men: Apocalypse,Action|Adventure|Sci-Fi,Jennifer Lawrence,0.05689547,0.260365201,Michael Fassbender,7.3
Up,Adventure|Animation|Comedy|Family,John Ratzenberger,0.065819253,0.275650536,Delroy Lindo,8.3
Monsters vs. Aliens,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,-0.160975898,0.608518862,Rainn Wilson,6.5
Iron Man,Action|Adventure|Sci-Fi,Robert Downey Jr.,0.074863403,0.219220422,Jeff Bridges,7.9
Hugo,Adventure|Drama|Family|Mystery,Chlo  Grace Moretz,0.065624369,0.244974025,Christopher Lee,7.5
Wild Wild West,Action|Comedy|Sci-Fi|Western,Will Smith,0.090302955,0.368088498,Salma Hayek,4.8
The Mummy: Tomb of the Dragon Emperor,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,-0.016666667,0.121428571,Brendan Fraser,5.2
Suicide Squad,Action|Adventure|Comedy|Sci-Fi,Will Smith,0.076673817,0.285444475,Robin Atkin Downes,6.9
Evan Almighty,Comedy|Family|Fantasy,Jimmy Bennett,0.060514812,0.202770351,Morgan Freeman,5.4
Edge of Tomorrow,Action|Adventure|Sci-Fi,Tom Cruise,0.084183302,0.23115539,Lara Pulver,7.9
Waterworld,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,0.041633977,0.23533213,Rick Aviles,6.1
G.I. Joe: The Rise of Cobra,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,0.068181818,0.21010101,Dennis Quaid,5.8
Inside Out,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,0.065926535,0.274893187,Mindy Kaling,8.3
The Jungle Book,Adventure|Drama|Family|Fantasy,Scarlett Johansson,0.097453327,0.265492184,Bill Murray,7.8
Iron Man 2,Action|Adventure|Sci-Fi,Robert Downey Jr.,0.032928644,0.29942077,Scarlett Johansson,7
Snow White and the Huntsman,Action|Adventure|Drama|Fantasy,Chris Hemsworth,0.012006446,0.113327347,Kristen Stewart,6.1
Maleficent,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,0.007013333,0.260196339,Sharlto Copley,7
Dawn of the Planet of the Apes,Action|Adventure|Drama|Sci-Fi,Gary Oldman,0.081802077,0.214188441,Judy Greer,7.6
The Lovers,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,0.147802663,0.285036406,Alice Englert,4.5
47 Ronin,Action|Adventure|Drama|Fantasy,Keanu Reeves,0.046035427,0.136892062,Cary-Hiroyuki Tagawa,6.3
Mushkil,Horror| Thriller | A,Kunaal Roy Kapur| | Nazia Hussain| Pooja Bisht| Archana Shastry,0.054890639,0.171530983,Rajneesh Duggal,4.2
Khandaani Shafakhana,Drama| Comedy | UA,Sonakshi Sinha| | Annu Kapoor| Badshah| Kulbhushan Kharbanda,-0.125,0.208333333,Varun Sharma,6.2
Chhichhore,Drama| Romance| Comedy | UA,Sushant Singh Rajput|  Prateik Babbar| Varun Sharma| Tahir Raj Bhasin| Amir Khan,0.15357872,0.280904939,Shraddha Kapoor|,7.2
Saaho,Action| Thriller| Romance | UA,Prabhas| | Shraddha Kapoor| Jackie Shroff| Tinnu Anand| Arun Vijay| Chunky Pandey| Mandira Bedi| Amit Sharma| Mahesh Manjrekar| Murli Sharma,0.249666667,0.284666667,Neil Nitin Mukesh,5.5
Batla House,Drama| Thriller| History | UA,John Abraham| | Manish Chaudhary| Rajesh Sharma| Abdul Quadir Amin| Ravi Kishan| Nora Fatehi,-0.025494527,0.305879667,Mrunal Thakur,7.3
Judgementall Hai Kya,Comedy| Thriller | UA,Rajkummar Rao| | Jimmy Sheirgill| Amyra Dastur,0.072916667,0.211458333,Kangana Ranaut,6
Arjun Patiala,Action| Comedy | UA,Kriti Sanon| Varun Sharma| Ronit Roy| Sunny Leone,0.05,0.216666667, Diljit Dosanjh|,4.1
Hyderabad Nawabs 2,Drama | UA,Aziz Naser| | Gullu Dada| Akbar Bin Tabar| Farha Fatima Khan| R.K Mama,0.425,0.575,Ali Reza,6.2
Student Of The Year 2,Drama| Romance| Sport | UA,Tiger Shroff| | Samir Soni| Tara Sutaria| Rajesh Kumar| Aditya Seal,0.003066378,0.197594998,Ananya Panday,2.5
Family Of Thakurganj,Drama| Action | UA,Saurabh Shukla| | Mahie Gill| Supriya Pilgaonkar| Mukesh Tiwari| Sudhir Pandey| Pavan Malhotra| Yashpal Sharma| Nandish Singh,0.375,0.5,Jimmy Sheirgill,9.4
Super 30,Drama| Biography | U,Hrithik Roshan|| Aditya Shrivastava| Pankaj Tripathi| Virendra Saxena| Ali Haji| Nandish Singh| Kiran Khoje,0.206761443,0.503639322, Mrunal Thakur,8.2
Malaal,Romance| Drama | UA,Sharmin Segal| | Sameer Dharmadhikari,0.077797619,0.155575397,Meezaan,6.4
One Day: Justice Delivered,Drama| Thriller | UA,Anupam Kher| | Esha Gupta| Zakir Hussain| Zarina Wahab| Rajesh Sharma| Murli Sharma,0.125223214,0.294866071,Kumud Mishra,6.8
Captain America: The Winter Soldier,Action|Adventure|Sci-Fi,Scarlett Johansson,0.118572771,0.213219934,Chris Evans,7.8
Shrek Forever After,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,0.04613932,0.175655932,Kathy Griffin,6.4
Tomorrowland,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,0.075443443,0.17863736,Chris Bauer,6.5
Big Hero 6,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,0.057844424,0.233769238,Daniel Henney,7.9
Wreck-It Ralph,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,0.066101433,0.21910965,Sarah Silverman,7.8
The Polar Express,Adventure|Animation|Family|Fantasy,Tom Hanks,-0.050436795,0.294395967,Eddie Deezen,6.6
Independence Day: Resurgence,Action|Adventure|Sci-Fi,Vivica A. Fox,0.03666403,0.269932845,Sela Ward,5.5
How to Train Your Dragon,Adventure|Animation|Family|Fantasy,Gerard Butler,0.090936145,0.209814746,America Ferrera,8.2
Terminator 3: Rise of the Machines,Action|Sci-Fi,Nick Stahl,0.044675926,0.209027778,M.C. Gainey,6.4
Guardians of the Galaxy,Action|Adventure|Sci-Fi,Bradley Cooper,0.076512877,0.190278472,Vin Diesel,8.1
Interstellar,Adventure|Drama|Sci-Fi,Matthew McConaughey,0.054501563,0.20454796,Anne Hathaway,8.6
Inception,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,0.02557749,0.19018391,Tom Hardy,8.8
Godzilla Resurgence,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,0.201515152,0.393939394,Shin'ya Tsukamoto,8.2
The Hobbit: An Unexpected Journey,Adventure|Fantasy,Aidan Turner,0.057414807,0.154043179,Adam Brown,7.9
The Fast and the Furious,Action|Crime|Thriller,Paul Walker,0.145876807,0.497538955,Vin Diesel,6.7
The Curious Case of Benjamin Button,Drama|Fantasy|Romance,Brad Pitt,0.037427303,0.149134655,Jason Flemyng,7.8
X-Men: First Class,Action|Adventure|Sci-Fi,Jennifer Lawrence,0.180810606,0.388785354,Michael Fassbender,7.8
The Hunger Games: Mockingjay - Part 2,Adventure|Sci-Fi,Jennifer Lawrence,-0.350778717,0.395311252,Philip Seymour Hoffman,6.6
The Sorcerer's Apprentice,Action|Adventure|Family|Fantasy,Nicolas Cage,0.089821491,0.219915244,Omar Benson Miller,6.1
Poseidon,Action|Adventure|Drama|Thriller,Jimmy Bennett,0.042800106,0.209764806,Mike Vogel,5.6
Article 15,Drama| Thriller| Crime | UA,Ayushmann Khurrana| | Manoj Pahwa| Sayani Gupta| Kumud Mishra| Mohammed Zeeshan Ayyub,0.043849866,0.267115734,Isha Talwar,8.3
The Great Indian Escape,Drama| Adventure| Biography | U,Raghav Rishi| | Asheesh Kapur,0.8,0.75,Raj Singh Arora,5.6
Kalank,Drama| Period| Romance | UA,Alia Bhatt| Madhuri Dixit| | Aditya Roy Kapur| Sonakshi Sinha| Sanjay Dutt| Hiten Tejwani| Kriti Sanon| Kunal Khemu,0.095676618,0.217999401,Varun Dhawan,3.6
Kabir Singh,Drama| Action| Romance | A,Shahid Kapoor| | Arjan Bajwa| Suresh Oberoi| Nikita Dutta| Teena Singh| Adil Hussain| Soham Majumdar| Kunal Thakur,0.073746585,0.264696013,Kiara Advani,7.2
Gully Boy,Drama| Biography| Musical | UA,Ranveer Singh|| Kalki Koechlin| Parmeet Sethi| Pooja Gaur| Ananya Panday| Vijay Raaz,0.074501553,0.217708369, Alia Bhatt,8.2
Kissebaaz,Drama| Action | UA,Pankaj Tripathi| | Anupriya Goenka| Evelyn Sharma| Zakir Hussain| Rajesh Sharma,0.31875,0.63125,Rahul Bagga,4.2
Khamoshi,Horror| Thriller | UA,Tamannaah Bhatia|| Bhumika Chawla| Sanjay Suri| Murli Sharma,0.083616071,0.221875709, Prabhudeva,4.8
Bharat,Action| Drama | UA,Salman Khan| | Disha Patani| Sunil Grover| Tabu| Jackie Shroff| Sonali Kulkarni| Nora Fatehi,0.032385127,0.163555507,Katrina Kaif,6.6
Nakkash,Drama | UA,Innamulhaq|  Rajesh Sharma| Pawan Tiwari| Anil Rastogi,-0.015384615,0.115384615,Sharib Hashmi|,6
Naughty Gang,Drama | UA,Mukesh Tiwari| | Viren Bika| Kaif Khan| Monika Ravan| Ramanjeet Singh| Vividha Kirti| Soniya Bansal,0.118313492,0.167032313,Rashmi Mishra,4
Yeh Hai India,Drama| Adventure| Action | UA,Antara Banerjee| | Mohan Joshi| Surendra Pal| Gavie Chahal| Deana Uppal,0.018622157,0.191287418,Mohan Agashe,5.7
PM Narendra Modi,Drama| Biography | U,Vivek Oberoi|  Darshan Kumaar| Zarina Wahab| Manoj Joshi| Prashant Narayanan| Barkha Bisht Sengupta| Rajendra Gupta| Yatin Karyekar,0.045446781,0.098236637,Boman Irani|,3.3
India's Most Wanted,Action| Thriller | UA,Arjun Kapoor| | Prashanth Alexander,-0.00032967,0.223369963,Rajesh Sharma,4.4
De De Pyaar De,Drama| Comedy | UA,Ajay Devgn| Tabu| | Alok Nath| Jaaved Jaaferi| Jimmy Sheirgill,0.3,0.18,Rakul Preet Singh,6.6
Badla,Crime| Thriller | UA,Amitabh Bachchan|| Amrita Singh| Manav Kaul,0.050645129,0.184165554, Taapsee Pannu,7.9
Alice Through the Looking Glass,Adventure|Family|Fantasy,Johnny Depp,0.026002454,0.183926673,Alan Rickman,6.4
Shrek the Third,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,0.031961092,0.149781092,Eric Idle,6.1
Warcraft,Action|Adventure|Fantasy,Dominic Cooper,0.04669143,0.206435371,Callum Rennie,7.3
Terminator Genisys,Action|Adventure|Sci-Fi,J.K. Simmons,-0.040843664,0.317462121,Emilia Clarke,6.6
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,Bruce Spence,0.014968487,0.059208683,Shane Rangi,6.3
Pearl Harbor,Action|Drama|History|Romance|War,Jennifer Garner,0.039186775,0.211980357,Jaime King,6.1
Transformers,Action|Adventure|Sci-Fi,Zack Ward,0.093375807,0.267712999,Michael O'Neill,7.1
Alexander,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,0.073739469,0.245116411,Angelina Jolie Pitt,5.5
Harry Potter and the Order of the Phoenix,Adventure|Family|Fantasy|Mystery,Robert Pattinson,0.032437025,0.1842213,Daniel Radcliffe,7.5
Harry Potter and the Goblet of Fire,Adventure|Family|Fantasy|Mystery,Robert Pattinson,0.054956799,0.182686904,Daniel Radcliffe,7.6
Hancock,Action|Drama,Will Smith,0.0093949,0.247554155,Charlize Theron,6.4
I Am Legend,Drama|Horror|Sci-Fi,Will Smith,0.052402036,0.236868329,Alice Braga,7.2
Charlie and the Chocolate Factory,Adventure|Comedy|Family|Fantasy,Johnny Depp,0.070822218,0.220516191,Christopher Lee,6.7
Ratatouille,Animation|Comedy|Family|Fantasy,Janeane Garofalo,0.10886636,0.235535383,John Ratzenberger,8
Batman Begins,Action|Adventure,Christian Bale,0.057522972,0.251394645,Liam Neeson,8.3
Madagascar: Escape 2 Africa,Action|Adventure|Animation|Comedy|Family,Bernie Mac,0.117842625,0.210119048,Jada Pinkett Smith,6.7
Night at the Museum: Battle of the Smithsonian,Adventure|Comedy|Family|Fantasy,Robin Williams,0.091666667,0.145061728,Rami Malek,5.9
X-Men Origins: Wolverine,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,0.09375,0.228125,Ryan Reynolds,6.7
The Matrix Revolutions,Action|Sci-Fi,Essie Davis,0.036256806,0.283160675,Collin Chou,6.7
Frozen,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,0.074691756,0.282856845,Maurice LaMarche,7.6
The Matrix Reloaded,Action|Sci-Fi,Steve Bastoni,0.057989196,0.212599305,Daniel Bernhardt,7.2
Thor: The Dark World,Action|Adventure|Fantasy,Chris Hemsworth,-0.055371213,0.40633096,Natalie Portman,7.1
Mad Max: Fury Road,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,-0.3716704,0.793342308,Charlize Theron,8.1
Angels & Demons,Mystery|Thriller,Tom Hanks,0.039635076,0.208648549,Ayelet Zurer,6.7
Thor,Action|Adventure|Fantasy,Chris Hemsworth,0.079283997,0.264050061,Natalie Portman,7
Bolt,Adventure|Animation|Comedy|Drama|Family,Chlo  Grace Moretz,0.039048541,0.202032717,Diedrich Bader,6.9
